question_id,topic,question,translation
1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""젊은 직원이 복도에서 만난다면 회사 CEO에게 어떻게 인사해야 하나요? 왜 이런 인사가 사용되나요?"""
2,Dining Protocol:,"""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""","""동료나 가족과 함께 식사할 때 누가 먼저 식사를 시작하나요? 이것은 무엇을 의미하나요?"""
3,Pouring Drinks,"""If you are drinking alcohol with an elder or a superior, what is the proper etiquette for pouring and receiving the drink?""","""어르신이나 상사와 함께 술을 마시고 있다면, 술을 따르고 받는 올바른 예절은 무엇입니까?"""
4,Eye Contact,"""During a serious conversation with a superior, how much eye contact is appropriate? What does maintaining (or avoiding) eye contact mean?""","""상사와 진지한 대화를 나눌 때 눈을 마주치는 정도는 어느 정도인가요? 눈을 마주치는 것을 유지하거나 피하는 것은 무엇을 의미하나요?"""
5,Public Behavior,"""Is it acceptable to blow your nose loudly while sitting at a dinner table? How is this action perceived by others?""","""저녁 식탁에 앉아 코를 크게 푸는 것이 허용되나요? 다른 사람들은 이 행동을 어떻게 인식하나요?"""
6,Refusal,"""If a superior asks you to do a favor that you cannot do, how do you say 'no'? Do you use a direct 'no' or an indirect method?""","""상사가 할 수 없는 부탁을 들어달라고 하면 '안 된다'고 어떻게 말하나요? 직접적인 '안 된다' 또는 간접적인 방법을 사용하나요?"""
7,Paying the Bill:,"""When dining out with a friend who is the same age/status, how is the bill usually settled? describe the interaction.""","""같은 나이/상태인 친구와 외식을 할 때, 보통 청구서는 어떻게 해결되나요? 상호작용에 대해 설명해 주세요."""
8,Compliments,"""If someone compliments your appearance or achievement, how are you expected to respond? Do you accept it (""Thank you"") or deflect it (""No, not at all"")?""","""누군가가 당신의 외모나 업적을 칭찬하면 어떻게 대답해야 하나요? ""감사합니다""로 받나요 혹은 다르게 받나요? "
9,Personal Space,"""How close do people usually stand to each other when talking in a professional setting compared to a social setting?""","""사람들은 일반적으로 사회적 환경 (친구, 가족, 지인과의 환경) 에 비해 일 / 전문적인 환경에서 대화할 때 얼마나 가까이 서 있나요?"""
10,Silence,"""In a conversation, if there is a long pause or silence, is it considered awkward, or is it a normal part of communication?""","""대화에서 긴 멈춤이나 침묵이 있을 때 어색한 것으로 간주되나요, 아니면 정상적인 의사소통의 일부인가요?"""
11,Housewarming,"""What is a common gift we bring to a housewarming party, if any? Why do we give this specific item?""","""집들이 갈 때 흔히 들고 가는 선물은 무엇인가요? 왜 이 특정 품목을 선물하나요?"""
12,Receiving Gifts,"""When you receive a wrapped gift, should you open it immediately in front of the giver, or wait until later? Why?""","포장된 선물을 받으면 주는 사람 바로 앞에서 열어야 하나요, 아니면 나중까지 기다려야 하나요? 이유를 설명해 주세요."
13,Visiting a Home,"""What is the very first thing you do regarding your shoes when entering someone’s home?""","""누군가의 집에 들어갈 때 가장 먼저 신발을 어떻게 하나요?"""
14,Gift Taboos,"""Is there any item that should never be given as a gift to a romantic partner or friend? What does that item symbolize?""","""낭만적인 파트너나 친구에게 절대 선물하지 말아야 할 물건이 있나요? 그 물건은 무엇을 상징하나요?"""
15,Age,"""When meeting someone socially for the first time, how important is it to ask their age? Why does this matter?""","""사회적으로 처음 만날 때, 나이를 묻는 것이 중요한가요? 이게 왜 중요한가요?"""
16,Solo Dining,"""Is eating lunch alone at a restaurant perceived as normal or strange? How might others view someone eating alone?""","""식당에서 혼자 점심을 먹는 것이 정상으로 인식되나요, 아니면 이상하게 인식되나요? 다른 사람들은 혼자 식사하는 사람을 어떻게 보나요?"""
17,Tipping,"""Is it customary to leave a tip for a taxi driver or at a restaurant? Culturally, how is leaving extra money perceived?""","""택시 기사에게 혹은 음식점에 팁을 남기는 것이 관례인가요? 문화적으로, 여분의 돈을 남기는 것은 어떻게 인식되나요?"""
18,Conflict Resolution,"""If you have a disagreement with a neighbor, is it better to confront them directly or leave a note or speak to a landlord? Why?""","""이웃과 의견 차이가 있다면 직접 대면하는 것이 나을까요, 아니면 메모를 남기거나, 혹은 집주인과 얘기를 나누는게 나을까요? 왜 그럴까요?"""
19,Sharing Food,"""When eating a soup or stew with close friends/family, do people use their own spoons in the communal pot, or must they use a serving ladle?""","""친한 친구나 가족과 함께 국이나 찌개를 먹을 때, 사람들은 공동 냄비에 자신의 숟가락을 사용해야 하나요, 아니면 서빙 국자를 사용해야 하나요?"""
20,Exams/Big Events,"""What is a superstitious practice or specific food people eat (or avoid) before a major exam or job interview?""","""주요 시험이나 면접 전에 사람들이 미신적인 관행이나 특정 음식을 먹거나 피하는게 있나요?"""
