run_id,generated_at_utc,question_id,topic,question,translation,variant_type,variant_index,temperature,model,answer,error
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""?? ??? ???? ???? ?? CEO?? ??? ???? ???? ? ?? ??? ??????""",det,0,0.2,gpt-4.1-mini,"Deterministic answer for: ""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""?? ??? ???? ???? ?? CEO?? ??? ???? ???? ? ?? ??? ??????""",stoch,1,1.0,gpt-4.1-mini,"Stochastic variant 1 for: ""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""?? ??? ???? ???? ?? CEO?? ??? ???? ???? ? ?? ??? ??????""",stoch,2,1.0,gpt-4.1-mini,"Stochastic variant 2 for: ""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""?? ??? ???? ???? ?? CEO?? ??? ???? ???? ? ?? ??? ??????""",stoch,3,1.0,gpt-4.1-mini,"Stochastic variant 3 for: ""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""?? ??? ???? ???? ?? CEO?? ??? ???? ???? ? ?? ??? ??????""",stoch,4,1.0,gpt-4.1-mini,"Stochastic variant 4 for: ""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,1,Addressing Elders,"""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""","""?? ??? ???? ???? ?? CEO?? ??? ???? ???? ? ?? ??? ??????""",stoch,5,1.0,gpt-4.1-mini,"Stochastic variant 5 for: ""How should a young employee greet the CEO of their company if they meet in the hallway? Why is this specific greeting used?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,2,Dining Protocol:,"""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""","""??? ??? ?? ??? ? ?? ?? ??? ?????? ??? ??? ??????""",det,0,0.2,gpt-4.1-mini,"Deterministic answer for: ""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,2,Dining Protocol:,"""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""","""??? ??? ?? ??? ? ?? ?? ??? ?????? ??? ??? ??????""",stoch,1,1.0,gpt-4.1-mini,"Stochastic variant 1 for: ""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,2,Dining Protocol:,"""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""","""??? ??? ?? ??? ? ?? ?? ??? ?????? ??? ??? ??????""",stoch,2,1.0,gpt-4.1-mini,"Stochastic variant 2 for: ""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""",
6e60a06c-0abf-4844-9651-71797819855b,2026-04-10T05:32:43.857673,2,Dining Protocol:,"""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""","""??? ??? ?? ??? ? ?? ?? ??? ?????? ??? ??? ??????""",stoch,3,1.0,gpt-4.1-mini,"Stochastic variant 3 for: ""When having a meal with a group of colleagues or family, who starts eating first? What does this signify?""",
